place,mean_visit
팔공은가비,[2.   1.4  1.71 1.   1.5  1.58 2.  ]
호텔인터불고 엑스코,[1.  1.  1.  1.5 1.  1.  1. ]
탑골식당,[2.   1.33 1.   1.   2.   1.   1.71]
엘디스 리젠트 호텔,[1.   1.2  1.   1.   1.25 1.   1.4 ]
한훤당고택 by soga,[1.   1.5  1.25 1.4  1.29 1.   1.75]
호텔라온제나,[1. 1. 1. 1. 1. 1. 1.]
코스트코코리아대구점,[ 9.  13.  13.   6.5  7.  16.  16. ]
이마트 트레이더스 비산점,[ 9.   9.5  5.5  6.5 10.   6.5  8. ]
홈플러스 성서점,[ 6.   6.5  7.5  5.   6.5 13.  11. ]
롯데마트 대구율하점,[2.8  2.6  3.5  2.5  4.6  4.25 1.8 ]
이마트 월배점,[ 6.   6.5  4.5  7.   8.   9.5 10. ]
홈플러스 칠곡점,[4.67 6.33 5.67 6.33 5.   4.   3.  ]
이마트 만촌점,[4.33 3.67 4.33 6.   3.33 5.67 6.  ]
이마트 칠성점,[4.   4.67 4.33 4.67 6.   8.67 4.5 ]
코스트코코리아 대구혁신점,[9.   7.   6.   5.33 7.5  8.   4.5 ]
홈플러스 대구수성점,[2.   5.6  2.2  3.25 2.25 4.75 4.  ]
연경,[1.5  1.   1.   2.   1.2  1.   1.38]
송쭈집 본점,[1.5  1.29 2.   1.56 2.1  1.25 1.73]
만다복,[1.43 1.38 1.5  1.4  1.14 1.92 2.  ]
신승반점,[1.89 1.4  1.22 1.4  1.2  2.   1.6 ]
뻘다방,[ 5.6  2.   5.   4.   5.6  6.8 13.2]
잇츠,[5.  5.  4.  4.5 4.  3.  1. ]
원조신포닭강정,[4.   2.4  2.   3.   1.75 4.5  3.67]
하이바다,[2.17 2.33 1.5  3.25 3.   3.8  3.83]
조양방직,[2.67 2.   2.5  3.4  2.   5.5  7.25]
그린홀리데이,[1.17 1.29 1.   1.33 1.67 1.88 1.5 ]
마시란비치하우스,[1.29 1.   1.29 2.25 1.25 1.47 1.81]
마시안제빵소,[2.6  2.   1.75 3.17 2.6  4.4  4.  ]
토크라피,[2.6  1.17 2.   1.8  1.86 3.83 3.57]
그리다디저트,[1.   1.   1.   1.   1.   1.23 1.5 ]
소래습지생태공원,[1. 1. 1. 1. 1. 1. 1.]
자유공원,[1. 1. 1. 1. 1. 1. 1.]
인천대공원,[1.   1.   1.   1.   1.   1.25 1.  ]
송도 센트럴파크,[1.   1.   1.5  1.33 1.2  1.   1.2 ]
인천나비공원,[1. 1. 1. 1. 1. 1. 1.]
수봉공원,[1. 1. 1. 1. 1. 1. 1.]
만정바다좌대낚시터,[1. 1. 1. 1. 1. 1. 1.]
강화레포츠파크,[1.   1.   2.   1.   1.   1.09 1.  ]
송도코마린이스트보트하우스,[1.2  1.4  1.   1.67 2.   3.27 4.  ]
정성레저낚시터,[1.   1.   1.   1.   1.   1.43 2.  ]
디스커버리 클라이밍스퀘어 ICN,[2.2  1.5  1.38 1.33 1.   3.   3.09]
선재낚시공원,[1.33 2.   2.   2.   1.5  1.33 1.6 ]
네스트호텔,[1.75 2.29 1.62 2.6  2.29 1.33 1.78]
파라다이스시티,[3.   1.56 1.25 1.38 1.78 1.22 1.58]
쉐라톤 그랜드 인천 호텔,[1.57 1.22 1.33 1.67 1.14 1.38 1.67]
오라카이 송도파크 호텔,[1.14 1.14 1.   1.67 1.62 1.28 1.36]
그랜드하얏트인천웨스트타워,[4.67 3.25 4.   4.   2.75 3.25 4.25]
송도센트럴파크호텔,[1.33 1.   1.   1.   1.   1.33 1.75]
베스트웨스턴 하버파크호텔,[2.33 1.   1.5  1.   1.17 1.55 1.  ]
파크마린호텔,[1.67 1.2  1.29 1.25 1.14 1.65 1.25]
홈플러스 간석점,[10.   6.   7.5  3.   3.  16.   6. ]
이마트 트레이더스 송림점,[14. 10. 14. 10.  2. 24. 26.]
롯데마트 삼산점,[ 6.   6.   8.   9.5 10.  12.  19. ]
홈플러스 구월점,[4.25 4.25 3.67 3.5  3.   6.67 4.75]
홈플러스 인하점,[ 6.5   6.5   6.5   5.67  6.   11.5   4.5 ]
이마트 연수점,[ 8.5  6.   5.5  7.   7.  13.   6.5]
롯데마트 부평점,[ 5.    4.5   5.    7.67  5.   11.    8.  ]
홈플러스 인천논현점,[3.67 4.67 3.   6.   4.   5.33 6.  ]
코스트코코리아 송도국제도시점,[12.  10.  13.   6.5 15.  15.  22. ]
홈플러스 가좌점,[5.33 3.33 5.33 5.33 8.   6.5  4.33]
어나더키친,[1.86 1.33 1.4  2.   1.7  3.62 2.33]
HAGOS,[1.83 1.33 1.5  1.12 1.45 1.18 1.2 ]
상무초밥 상무점,[1.5  2.33 2.43 1.67 1.75 1.89 1.57]
교촌치킨 조선대점,[1.   1.   1.   1.12 1.   1.5  1.1 ]
영미오리탕,[1.73 1.   1.12 1.6  1.   1.25 1.27]
양동통닭,[1.25 1.33 1.56 1.25 1.   1.77 1.86]
월계수식당,[1.11 1.08 1.5  1.29 1.   1.12 1.47]
나정상회,[1.   1.29 1.22 1.18 1.25 1.25 1.86]
스시앤그릴,[1.   1.17 1.   1.5  1.   1.27 1.31]
맥도날드 광주산정DT점,[2.14 1.5  2.   1.33 1.25 2.2  2.2 ]
궁전제과 충장점,[1.44 1.67 2.   2.22 2.14 1.33 1.7 ]
카페바리에,[1.18 1.09 1.22 1.14 1.   1.47 1.25]
스타벅스 광주신세계DT점,[1.57 1.86 1.11 1.46 1.7  1.56 1.6 ]
라라브레드 송정점,[1.25 2.14 1.   2.11 1.2  1.82 2.25]
카페밀당,[1.   1.5  1.   1.   1.14 1.5  1.  ]
아우어베이커리 광주첨단점,[1.67 1.88 1.78 1.8  2.4  2.   1.36]
르시엘블루,[1.   1.17 1.25 1.5  1.6  1.88 1.12]
카페온화 광주,[1.   1.   1.   1.   1.   1.25 1.  ]
아필코 본점,[2.25 1.17 1.   1.2  1.25 1.33 1.25]
롯데시네마 수완,[1.33 1.12 1.33 1.2  1.   1.42 1.07]
중외공원,[1. 1. 1. 1. 1. 1. 1.]
바위 클라이밍 센터,[2. 1. 1. 1. 2. 1. 1.]
광주북구건강복지타운 우산수영장,[1. 1. 1. 1. 1. 1. 1.]
클라이븐 클라이밍 컴퍼니,[1. 1. 1. 1. 1. 1. 1.]
송산승마스쿨,[1. 1. 1. 1. 1. 1. 1.]
승촌보오토캠핑장,[1. 1. 1. 1. 1. 1. 1.]
주노글램핑 광주점,[1.   1.   1.11 1.31 1.12 1.09 1.  ]
acc디자인호텔,[1.  1.5 1.  1.  1.  1.  1. ]
광주패밀리랜드 카라반 캠핑장,[1. 1. 1. 1. 1. 1. 1.]
노블스테이,[1.  1.  1.  1.5 1.  1.  1. ]
탑클라우드호텔 광주점,[1. 1. 1. 1. 1. 1. 1.]
이마트 광주점,[6.   6.   5.33 5.33 9.5  7.   5.5 ]
롯데마트 광주수완점,[3.5  3.75 2.67 4.   3.   7.67 5.  ]
롯데마트 월드컵점,[6.33 4.33 3.33 3.33 4.5  8.   5.  ]
롯데마트 첨단점,[7.   5.33 3.67 4.   4.   6.   4.67]
홈플러스 계림점,[4.   2.2  2.83 2.2  3.75 3.6  2.  ]
롯데마트 상무점,[4.25 5.75 5.   3.33 3.33 5.   5.  ]
홈플러스 동광주점,[7.33 6.   6.   4.67 3.   7.   4.  ]
이마트 광산점,[4.5  4.25 3.   3.25 3.25 3.25 3.5 ]
이마트 봉선점,[2.5  3.   2.   3.   3.5  7.25 5.  ]
홈플러스 광주하남점,[5.5  3.67 2.67 4.75 4.33 3.75 3.  ]
성심당 본점,[12.   10.67 10.67  8.67 13.   11.   19.  ]
옛터민속박물관,[1.5  1.   1.   1.6  2.   1.12 1.33]
오씨칼국수,[3.5  1.   1.57 1.75 2.   2.9  2.9 ]
성심당 케익부띠끄,[ 6.5 11.   5.   8.   9.   6.   8.5]
모루,[1. 1. 1. 1. 1. 2. 1.]
태평소국밥,[1.17 1.71 1.5  1.71 1.83 2.33 2.5 ]
이태리국시 본점,[5.25 3.75 5.25 4.25 2.33 2.   3.75]
진로집,[1.08 1.   1.   1.22 1.11 1.15 1.21]
빕스 대전둔산점,[2.4  1.38 1.62 2.   2.33 2.86 2.25]
커피인터뷰,[2.2  2.   1.25 1.3  1.57 1.3  1.89]
성심당 대전역점,[3. 6. 6. 3. 3. 4. 5.]
금강로하스대청공원,[1. 1. 1. 1. 1. 1. 1.]
대동하늘공원,[1. 1. 1. 1. 1. 1. 1.]
엑스포 과학공원,[1. 1. 1. 1. 1. 1. 1.]
클라이밍짐리드 충대점,[1. 1. 1. 1. 1. 1. 1.]
클라이밍짐리드 유성점,[1. 1. 1. 1. 1. 2. 1.]
테크노클라이밍짐,[1. 1. 1. 1. 1. 1. 1.]
레이저태그스포츠,[1. 1. 1. 1. 2. 1. 1.]
장태산자연휴양림,[1. 1. 1. 1. 1. 1. 1.]
유성호텔,[1.   1.5  1.   1.   1.   1.   1.12]
